"","Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor","Date"
"227",2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Euros/m2 construït","4933.4",2022-01-01
"228",2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Euros/m2 construït","4129.5",2022-01-01
"229",2022,1,2,"Eixample",10,"Sant Antoni","Total. Euros/m2 construït","4523.9",2022-01-01
"230",2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Euros/m2 construït","3733.8",2022-01-01
"231",2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Euros/m2 construït","--",2022-01-01
"232",2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Euros/m2 construït","3451.5",2022-01-01
"233",2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Euros/m2 construït","3198.8",2022-01-01
"234",2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Euros/m2 construït","3830.5",2022-01-01
"235",2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Euros/m2 construït","3676.4",2022-01-01
"236",2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Euros/m2 construït","3632.0",2022-01-01
"237",2022,1,3,"Sants-Montjuïc",18,"Sants","Total. Euros/m2 construït","3824.8",2022-01-01
"238",2022,1,4,"Les Corts",19,"les Corts","Total. Euros/m2 construït","5005.7",2022-01-01
"239",2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Euros/m2 construït","4091.8",2022-01-01
"240",2022,1,4,"Les Corts",21,"Pedralbes","Total. Euros/m2 construït","5078.9",2022-01-01
"241",2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Euros/m2 construït","3747.0",2022-01-01
"242",2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Euros/m2 construït","6042.0",2022-01-01
"243",2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Euros/m2 construït","5799.4",2022-01-01
"244",2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Euros/m2 construït","6148.2",2022-01-01
"245",2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Euros/m2 construït","5895.0",2022-01-01
"246",2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Euros/m2 construït","5142.9",2022-01-01
"247",2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Euros/m2 construït","4126.5",2022-01-01
"248",2022,1,6,"Gràcia",29,"el Coll","Total. Euros/m2 construït","2723.8",2022-01-01
